"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"ELECTRICITE DE FRANCE-ADR"	"ECIFY"	"245604"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"11,460"	"USD"	"n/d"	""	"Non"
"ELI SCIENTIFIC INC RSTD"	""	"845285"	"Autres titres"	"330"	"18,000"	"18,000"	"18,000"	"CAD"	"n/d"	""	"Non"
"ELIXIR GAMING TECHS INC"	"EGT"	"249907"	"Actions ordinaires"	"315"	"0,260"	"0,280"	"0,270"	"USD"	"n/d"	""	"Non"
"EMBRAER-EMP BRA AERON ADR"	"ERJ"	"250842"	"Actions ordinaires"	"3158000"	"21,800"	"21,840"	"21,870"	"USD"	"5,02"	""	"Non"
"EMC CORP (MASS)"	"EMC"	"239329"	"Actions ordinaires"	"315"	"16,940"	"16,960"	"16,940"	"USD"	"n/d"	""	"Non"
"EMERA INCORPORATED"	"EMA"	"250010"	"Actions ordinaires"	"315"	"24,100"	"24,110"	"24,110"	"CAD"	"4,52"	""	"Non"
"EMERCOR BUILDING SYS LTD"	""	"251213"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"EMERGIS INC *"	"EME"	"251235"	"Actions ordinaires"	"330"	"8,240"	"8,250"	"8,250"	"CAD"	"n/d"	""	"Non"
"EMERSON ELECTRIC CO"	"EMR"	"251207"	"Actions ordinaires"	"315"	"42,520"	"42,540"	"42,510"	"USD"	"3,15"	""	"Non"
"EMI US F/M CP P603/N"	"OPU724"	"972753"	"Fonds d'actions américaines"	"3807255"	"8,151"	"8,151"	"8,151"	"CAD"	"n/d"	""	"Non"
"EMIS ACT CDN P603 /N"	"OPU721"	"972750"	"Fonds d'actions canadiennes"	"3807150"	"11,691"	"11,691"	"11,691"	"CAD"	"n/d"	""	"Non"
"EMIS ACT CDN P604 /N"	"OPU731"	"972756"	"Fonds d'actions canadiennes"	"3807150"	"11,691"	"11,691"	"11,691"	"CAD"	"n/d"	""	"Non"
"EMIS ACTIONS CDN /N"	"OPU251"	"977227"	"Fonds d'actions canadiennes"	"3807150"	"11,691"	"11,691"	"11,691"	"CAD"	"10,60"	""	"Non"
"EMIS CROIS AM P603/N"	"OPU723"	"972752"	"Fonds d'actions américaines"	"3807250"	"5,593"	"5,593"	"5,593"	"CAD"	"n/d"	""	"Non"
"EMIS CROIS AM P604/N"	"OPU733"	"972758"	"Fonds d'actions américaines"	"3807250"	"5,593"	"5,593"	"5,593"	"CAD"	"n/d"	""	"Non"
"EMIS INL EAEO P603/N"	"OPU725"	"972754"	"Fonds d'actions internationales"	"3807300"	"8,081"	"8,081"	"8,081"	"CAD"	"n/d"	""	"Non"
"EMIS INL EAEO P604/N"	"OPU735"	"972760"	"Fonds d'actions internationales"	"3807300"	"8,081"	"8,081"	"8,081"	"CAD"	"n/d"	""	"Non"
"EMIS RV FX CD P603/N"	"OPU720"	"972749"	"Fonds de valeurs à revenu fixe"	"3807700"	"10,841"	"10,841"	"10,841"	"CAD"	"n/d"	""	"Non"
"EMIS RV FX CD P604/N"	"OPU730"	"972755"	"Fonds de valeurs à revenu fixe"	"3807700"	"10,841"	"10,841"	"10,841"	"CAD"	"n/d"	""	"Non"
"EMIS U P/M CP P604/N"	"OPU734"	"972759"	"Fonds d'actions américaines"	"3807255"	"8,151"	"8,151"	"8,151"	"CAD"	"n/d"	""	"Non"
"EMIS VAL AMER P603/N"	"OPU722"	"972751"	"Fonds d'actions américaines"	"3807250"	"5,718"	"5,718"	"5,718"	"CAD"	"n/d"	""	"Non"
"EMIS VAL AMER P604/N"	"OPU732"	"972757"	"Fonds d'actions américaines"	"3807250"	"5,718"	"5,718"	"5,718"	"CAD"	"n/d"	""	"Non"
"EMPIRE CO CL-A NV"	"EMP.A"	"251660"	"Actions ordinaires"	"330"	"48,500"	"48,740"	"48,500"	"CAD"	"1,53"	""	"Non"
"EMPLOYEE BENEFIT PLANS *"	""	"252164"	"Actions ordinaires"	"330"	"20,000"	"20,000"	"20,000"	"USD"	"n/d"	""	"Non"
"EMR MICROWAVE TECH CORP *"	""	"239397"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ENBRIDGE 5% 9AU16"	""	"T32418"	"Obligations corporatives"	"2606000"	"107,121"	"107,121"	"107,121"	"CAD"	"4,67"	"3,761418"	"Non"
"ENBRIDGE 7.60 PFD COPRS *"	""	"252347"	"Actions privilégiées"	"3108003"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ENBRIDGE EN PRTNRS-A LPU"	"EEP"	"252359"	"Actions ordinaires"	"3158002"	"54,260"	"54,310"	"54,260"	"USD"	"7,30"	""	"Non"
"ENBRIDGE GAS 5.57% 29JA14"	""	"T32430"	"Obligations (autres)"	"2606000"	"110,615"	"110,615"	"110,615"	"CAD"	"5,04"	"2,756179"	"Non"
"ENBRIDGE INC"	"ENB"	"252343"	"Actions ordinaires"	"315"	"46,680"	"46,860"	"46,680"	"CAD"	"3,17"	""	"Non"
"ENBRIDGE INC 3.95% 15FV10"	""	"V15112"	"Obligations corporatives"	"2606000"	"100,162"	"100,162"	"100,162"	"CAD"	"3,94"	"1,090301"	"Non"
"ENBRIDGE INC 4.67% 25MR13"	""	"V15115"	"Obligations (autres)"	"2606000"	"106,729"	"106,729"	"106,729"	"CAD"	"4,38"	"2,445244"	"Non"
"ENBRIDGE INC 7.8%PF COPR*"	"ENB.PR.D"	"252361"	"Obligations corporatives"	"3108003"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	"n/d"	"Non"
"ENBRIDGE INC 8% PFD-COPR*"	""	"252358"	"Actions privilégiées"	"3108003"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ENBRIDGE INCM FND ORD T/U"	"ENF.UN"	"252352"	"Fiducies de redevances"	"3308001"	"12,860"	"12,900"	"12,900"	"CAD"	"8,93"	""	"Non"
"ENBRIDGE PPL 4.46% 17DC12"	""	"T32395"	"Obligations corporatives"	"2606000"	"106,233"	"106,233"	"106,233"	"CAD"	"4,20"	"2,222680"	"Non"
"ENBRIDGE PPL 6.05% 12FB29"	""	"T32383"	"Obligations corporatives"	"2606000"	"107,899"	"107,899"	"107,899"	"CAD"	"5,61"	"5,381687"	"Non"
"ENCANA CB 5.8% 18JA18"	""	"T32429"	"Obligations corporatives"	"2606000"	"110,470"	"110,470"	"110,470"	"CAD"	"5,25"	"4,239741"	"Non"
"ENCANA CB-04 7% 23MR34*"	""	"T32386"	"Obligations (autres)"	"2606000"	"100,000"	"0,000"	"0,000"	"CAD"	"7,00"	"6,998876"	"Non"
"ENCANA CORP"	"ECA"	"252362"	"Actions ordinaires"	"315"	"34,280"	"34,450"	"34,370"	"CAD"	"2,46"	""	"Non"
"ENCANA CORP PFD 8.5%COPR*"	""	"252367"	"Actions privilégiées"	"3108003"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ENDEAVOUR FINANCIAL CORP"	"EDV"	"252981"	"Actions ordinaires"	"330"	"1,700"	"1,730"	"1,700"	"CAD"	"21,18"	""	"Non"
"ENDESA S.A. ADR *"	"ELE"	"252759"	"Actions ordinaires"	"3308000"	"47,625"	"47,625"	"0,000"	"USD"	"n/d"	""	"Non"
"ENDOLOGIX INC"	"ELGX"	"252786"	"Actions ordinaires"	"330"	"5,160"	"5,170"	"5,180"	"USD"	"n/d"	""	"Non"
"ENEL SPA ADR"	"ENLAY"	"253135"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"5,580"	"USD"	"n/d"	""	"Non"
"ENEL SPA - SPON ADR"	"EN"	"252903"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"54,300"	"USD"	"n/d"	""	"Non"
"ENERFLEX SYS INCM FD T/U"	"EFX.UN"	"252851"	"Fiducies de redevances"	"3308001"	"14,460"	"14,490"	"14,490"	"CAD"	"8,28"	""	"Non"
"ENERGIAS DE POR S/ADR"	"EDP"	"248357"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"41,650"	"USD"	"n/d"	""	"Non"
"ENERGIZER HOLDINGS INC"	"ENR"	"252920"	"Actions ordinaires"	"315"	"59,060"	"59,100"	"59,120"	"USD"	"n/d"	""	"Non"
"ENERGY EAST CORP *"	"EAS"	"252853"	"Actions ordinaires"	"330"	"28,560"	"28,580"	"28,560"	"USD"	"4,34"	""	"Non"
"ENERGY FUELS INC"	"EFR"	"253706"	"Actions ordinaires"	"330"	"0,250"	"0,260"	"0,255"	"CAD"	"n/d"	""	"Non"
"ENERGY PARTNERS LTD *"	"EPL"	"252945"	"Actions ordinaires"	"315"	"0,000"	"0,000"	"0,420"	"USD"	"n/d"	""	"Non"
"ENERGY PLUS INCM FD T/U"	"EPF.UN"	"253029"	"Fiducies de redevances"	"3308001"	"6,750"	"6,860"	"6,800"	"CAD"	"7,50"	""	"Non"
"ENERGY SPLIT CORP INC"	"ES"	"252947"	"Actions ordinaires"	"3308005"	"9,750"	"9,940"	"9,750"	"CAD"	"11,90"	""	"Non"
"ENERGY SVGS INCM FND T/U*"	"SIF.UN"	"252858"	"Fiducies de redevances"	"3308001"	"11,090"	"11,180"	"11,100"	"CAD"	"11,17"	""	"Non"
"ENERPLUS ENERGY II *"	""	"994823"	"Autres titres"	"380"	"11,100"	"11,100"	"11,100"	"CAD"	"n/d"	""	"Non"
"ENERPLUS RESOURCES FD T/U"	"ERF.UN"	"253432"	"Fiducies de redevances"	"3158001"	"23,800"	"23,910"	"23,820"	"CAD"	"9,07"	""	"Non"
"ENERVEST DVF INC T/U-TEMP"	""	"253039"	"Fiducies de redevances"	"3308001"	"11,730"	"11,770"	"11,730"	"CAD"	"n/d"	""	"Non"
"ENERVEST DVF INCM T/U-NEW"	"EIT.UN"	"252936"	"Fiducies de redevances"	"3308001"	"12,900"	"12,940"	"12,900"	"CAD"	"9,30"	""	"Non"
"ENERVEST NTL RESC /N"	"NLEO040"	"253104"	"Fonds d'actions"	"3807100"	"13,320"	"13,320"	"13,320"	"CAD"	"n/d"	""	"Non"
"ENGHOUSE SYSTEMS LTD"	"ESL"	"253119"	"Actions ordinaires"	"330"	"7,920"	"8,000"	"8,000"	"CAD"	"1,50"	""	"Non"
"ENGINEERED SUPPORT SYS *"	"EASI"	"252877"	"Actions ordinaires"	"315"	"43,020"	"43,070"	"43,020"	"USD"	"0,08"	""	"Non"
"ENHANCED OIL RESOURCES"	"EOR"	"253786"	"Actions ordinaires"	"330"	"0,200"	"0,215"	"0,210"	"CAD"	"n/d"	""	"Non"
"ENI S P A ADR"	"E"	"252991"	"Actions ordinaires"	"3158000"	"48,640"	"48,670"	"48,690"	"USD"	"6,01"	""	"Non"
"ENRON CORP *"	""	"253075"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"ENSCO INTERNATIONAL INC *"	"ESV"	"239389"	"Actions ordinaires"	"330"	"42,220"	"42,240"	"41,930"	"USD"	"0,24"	""	"Non"
"ENSIGN ENERGY SVCS INC"	"ESI"	"253173"	"Actions ordinaires"	"315"	"15,870"	"15,930"	"15,900"	"CAD"	"2,20"	""	"Non"
"ENTERASYS NETWORKS INC *"	"ETS"	"253362"	"Actions ordinaires"	"315"	"1,260"	"1,270"	"1,270"	"USD"	"n/d"	""	"Non"
"ENTERGY CORP"	"ETR"	"253136"	"Actions ordinaires"	"315"	"78,690"	"78,720"	"78,730"	"USD"	"3,81"	""	"Non"
"ENTERTAINMNT ONE INCM T/U"	"EOF.UN"	"253325"	"Fiducies de redevances"	"3308001"	"3,570"	"3,590"	"3,570"	"CAD"	"n/d"	""	"Non"
"ENTRUST INC *"	"ENTU"	"253338"	"Actions ordinaires"	"330"	"1,990"	"2,000"	"2,000"	"USD"	"n/d"	""	"Non"
"ENVIRO SOLUTIONS WORLDWID"	"ESWW"	"253216"	"Actions ordinaires"	"330"	"0,570"	"0,690"	"0,620"	"USD"	"n/d"	""	"Non"
"EOG RESOURCES INC"	"EOG"	"253383"	"Actions ordinaires"	"315"	"94,930"	"94,950"	"94,970"	"USD"	"0,61"	""	"Non"
"EPCOR PF EQ C/RD 1ST PF-*"	"EPE.PR.A"	"240308"	"Actions privilégiées rachetables"	"310"	"24,950"	"25,000"	"24,950"	"CAD"	"5,51"	""	"Non"
"EPCOR POWER EQ CR S1 PFD*"	"EPP.PR.A"	"241551"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"17,350"	"17,390"	"17,390"	"CAD"	"6,97"	""	"Non"
"EPCOR POWER EQTY S-2 PFD*"	"EPP.PR.B"	"241566"	"Actions privilégiées"	"310"	"26,110"	"26,390"	"26,390"	"CAD"	"0,00"	""	"Non"
"EPCOR POWER LPU *"	"EP.UN"	"240254"	"Fiducies de redevances"	"3308002"	"0,000"	"0,000"	"13,437"	"USD"	"12,38"	""	"Non"
"EPHONE TELECOM INC"	"EPHO"	"253286"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"EPIC BEVERAGES LTD"	""	"253258"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"EPIC DATA INTL INC"	"EKD"	"253263"	"Actions ordinaires"	"330"	"0,165"	"0,290"	"0,165"	"CAD"	"n/d"	""	"Non"
"EPIQ SYSTEMS INC"	"EPIQ"	"253430"	"Actions ordinaires"	"315"	"12,520"	"12,530"	"12,530"	"USD"	"n/d"	""	"Non"
"EQT CPG NCI 2.7% 13AU12A"	""	"T36935"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"2,70"	"2,700000"	"Non"
"EQT CPG NCI 4.7% 6AU13A"	""	"T36024"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,70"	"4,700000"	"Non"
"EQT CPG NCI 4.7%30JL13CA"	""	"T35982"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,70"	"4,700000"	"Non"
"EQT CPG NCI 4.17% 10JA12A"	""	"T34706"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,17"	"4,170000"	"Non"
"EQT CPG NCI 4.45% 2AV13CA"	""	"T35700"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"100,000"	"CAD"	"4,45"	"4,450000"	"Non"
"EQT CPG NCI 4.55% 11FV13A"	""	"T35616"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,55"	"4,550000"	"Non"
"EQT CPG NCI 4.61% 4MR13A"	""	"T35650"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,61"	"4,610000"	"Non"
"EQT CPG NCI 4.65% 8AV13A"	""	"T35707"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,65"	"4,650000"	"Non"
"EQT CPG NCI 4.81% 4OC12CA"	""	"T35387"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"100,000"	"CAD"	"4,81"	"4,810000"	"Non"
"EQT CPG NCI 4.9% 24AU12A"	""	"T35240"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,90"	"4,900000"	"Non"
"EQT CPG NCI 4.95% 5DC12A"	""	"T35514"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,95"	"4,950000"	"Non"
"EQT CPG NCI 4.96% 4DC12A"	""	"T35509"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,96"	"4,960000"	"Non"
"EQT CPG NCI 5.02% 4JL12A"	""	"T35094"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"5,02"	"5,020000"	"Non"
"EQT CPG NCI 5.06% 6JL12A"	""	"T35104"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"5,06"	"5,060000"	"Non"
"EQUICAP FINANCIAL CORP *"	"EQF"	"253483"	"Actions ordinaires"	"330"	"0,820"	"0,850"	"0,850"	"CAD"	"n/d"	""	"Non"
"EQUIFAX INC"	"EFX"	"253345"	"Actions ordinaires"	"315"	"31,850"	"31,870"	"31,850"	"USD"	"0,50"	""	"Non"
"EQUITY ONE INC"	"EQY"	"254285"	"Actions ordinaires"	"3158008"	"16,950"	"16,960"	"16,960"	"USD"	"5,19"	""	"Non"
"ERICSSON L M TEL ADR"	"ERIC"	"254383"	"Actions ordinaires"	"3158000"	"9,800"	"9,810"	"9,800"	"USD"	"n/d"	""	"Non"
